alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin,Chinge,XCp
11.000,1.4429,0.01290,0.00800,-0.0341,0.0123,1.0000,-6.0078,0.0000,0.0000,0.0000,0.2595
11.100,1.4527,0.01303,0.00815,-0.0338,0.0121,1.0000,-6.1174,0.0000,0.0000,0.0000,0.2589
11.200,1.4626,0.01316,0.00827,-0.0335,0.0121,1.0000,-6.2305,0.0000,0.0000,0.0000,0.2584
11.300,1.4724,0.01328,0.00841,-0.0331,0.0121,1.0000,-6.3444,0.0000,0.0000,0.0000,0.2579
11.400,1.4822,0.01341,0.00854,-0.0328,0.0121,1.0000,-6.4590,0.0000,0.0000,0.0000,0.2573
11.500,1.4919,0.01354,0.00867,-0.0325,0.0121,1.0000,-6.5743,0.0000,0.0000,0.0000,0.2568
11.600,1.5016,0.01367,0.00881,-0.0321,0.0120,1.0000,-6.6903,0.0000,0.0000,0.0000,0.2562
11.700,1.5112,0.01380,0.00895,-0.0318,0.0120,1.0000,-6.8069,0.0000,0.0000,0.0000,0.2557
11.800,1.5207,0.01393,0.00909,-0.0314,0.0119,1.0000,-6.9240,0.0000,0.0000,0.0000,0.2551
11.900,1.5301,0.01407,0.00924,-0.0310,0.0118,1.0000,-7.0416,0.0000,0.0000,0.0000,0.2546
12.000,1.5394,0.01422,0.00939,-0.0306,0.0118,1.0000,-7.1595,0.0000,0.0000,0.0000,0.2540
12.100,1.5486,0.01437,0.00954,-0.0302,0.0116,1.0000,-7.2776,0.0000,0.0000,0.0000,0.2534
12.200,1.5576,0.01452,0.00970,-0.0297,0.0115,1.0000,-7.3957,0.0000,0.0000,0.0000,0.2529
12.300,1.5665,0.01468,0.00987,-0.0293,0.0113,1.0000,-7.5138,0.0000,0.0000,0.0000,0.2523
12.400,1.5751,0.01485,0.01004,-0.0288,0.0111,1.0000,-7.6315,0.0000,0.0000,0.0000,0.2517
12.500,1.5835,0.01503,0.01023,-0.0282,0.0108,1.0000,-7.7483,0.0000,0.0000,0.0000,0.2511
12.600,1.5916,0.01523,0.01042,-0.0276,0.0105,1.0000,-7.8639,0.0000,0.0000,0.0000,0.2504
12.700,1.5992,0.01543,0.01063,-0.0270,0.0101,1.0000,-7.9775,0.0000,0.0000,0.0000,0.2498
12.800,1.6065,0.01565,0.01086,-0.0263,0.0098,1.0000,-8.0892,0.0000,0.0000,0.0000,0.2491
12.900,1.6128,0.01587,0.01109,-0.0254,0.0094,1.0000,-8.1962,0.0000,0.0000,0.0000,0.2483
13.000,1.6186,0.01610,0.01132,-0.0244,0.0090,1.0000,-8.2995,0.0000,0.0000,0.0000,0.2474
13.100,1.6239,0.01635,0.01158,-0.0234,0.0084,1.0000,-8.3989,0.0000,0.0000,0.0000,0.2465
13.200,1.6291,0.01662,0.01186,-0.0223,0.0079,1.0000,-8.4950,0.0000,0.0000,0.0000,0.2457
13.300,1.6340,0.01691,0.01217,-0.0213,0.0075,1.0000,-8.5889,0.0000,0.0000,0.0000,0.2448
13.400,1.6388,0.01720,0.01249,-0.0202,0.0073,1.0000,-8.6825,0.0000,0.0000,0.0000,0.2439
